text
"Incident Date: 22 September 2024 Location: Fleet Garage Person Involved: Blake Walker Reporter Name: Sawyer Sullivan Injury Description: Fractured wrist from fall on wet surface Incident Description: Worker fell from scaffolding while painting, resulting in concussion. Label: Accident Department: Security Was Injured: Yes Incident Time: 07:09"
"Reporter Name: Alex Kennedy Incident Time: 04:48 Department: Procurement Label: Accident Person Involved: Logan Lee Incident Description: grinder malfunction caused a fuel leak, injuring two workers. Incident Date: 05 July 2025 Injury Description: Fractured ankle due to fall from scaffolding Location: Warehouse B Was Injured: Yes"
Location: Training Room Injury Description: Puncture wound from misplaced tool Person Involved: Kai Murray Label: Accident Reporter Name: Sydney Allen Was Injured: Yes Incident Time: 21:57 Incident Date: 10 August 2024 Department: Warehouse Incident Description: Exposure to high-voltage wiring led to a fractured leg.
"Was Injured: Yes Incident Time: 19:22 Person Involved: Sydney Parker Label: Accident Incident Date: 19 July 2024 Reporter Name: Cameron Holmes Location: Dry Dock 2 Incident Description: grinder malfunction caused a fuel leak, injuring the operator. Department: Ship Maintenance Injury Description: Crush injury to hand from hydraulic press"
"Label: Accident Department: HR Was Injured: Yes Incident Description: Worker fell from ship deck while welding, resulting in burns. Reporter Name: Drew Cooper Incident Time: 01:34 Injury Description: Fractured wrist from fall on wet surface Location: Dry Dock 1 Incident Date: 24 January 2025 Person Involved: Emerson Holmes"
"Injury Description: Severe abrasion from slip on deck Person Involved: Dakota Sullivan Incident Time: 21:14 Incident Date: 04 March 2024 Location: Fuel Depot Incident Description: Worker fell from ladder while welding, resulting in burns. Reporter Name: Logan Clark Label: Accident Was Injured: Yes Department: Warehouse"
Incident Time: 13:52 Department: Customer Service Location: Electrical Bay Incident Date: 15 August 2025 Person Involved: Alex Bennett Injury Description: Crush injury to hand from hydraulic press Label: Accident Was Injured: Yes Reporter Name: Peyton Ward Incident Description: Exposure to asbestos led to a fractured leg.
"Department: Health & Safety Incident Time: 19:10 Injury Description: Minor cuts and bruises Location: Dockyard North Reporter Name: Frankie Clark Person Involved: Skyler Robinson Was Injured: Yes Label: Accident Incident Description: Worker fell from ladder while painting, resulting in a fractured leg. Incident Date: 23 August 2024"
"Injury Description: Concussion from falling object Person Involved: Logan Ward Was Injured: Yes Department: Legal Incident Description: forklift malfunction caused a steel beam to drop, injuring the operator. Label: Accident Location: Maintenance Shed Reporter Name: Blake Murphy Incident Time: 17:34 Incident Date: 31 January 2025"
"Label: Accident Location: Fuel Depot Person Involved: Quinn Holmes Department: Health & Safety Incident Description: Worker fell from ship deck while welding, resulting in burns. Incident Date: 22 July 2024 Incident Time: 16:25 Reporter Name: Reese Brown Injury Description: Laceration from sharp metal panel Was Injured: Yes"
"Incident Date: 01 July 2024 Incident Time: 07:16 Injury Description: Electric shock from faulty wiring Department: Warehouse Was Injured: Yes Location: Engineering Workshop Person Involved: Skyler Graham Label: Accident Reporter Name: Finley Lee Incident Description: grinder malfunction caused a steel beam to drop, injuring two workers."
"Label: Accident Location: Cafeteria Person Involved: Logan Allen Department: HR Incident Time: 04:57 Incident Description: grinder malfunction caused electrical fire, injuring the operator. Reporter Name: Frankie Murray Incident Date: 26 January 2025 Injury Description: Electric shock from faulty wiring Was Injured: Yes"
Incident Time: 08:16 Location: Dry Dock 1 Department: Legal Incident Description: Exposure to toxic fumes led to concussion. Was Injured: Yes Label: Accident Injury Description: Minor cuts and bruises Incident Date: 07 April 2025 Person Involved: Finley Cooper Reporter Name: Casey Fisher
"Reporter Name: Kai Foster Label: Accident Was Injured: Yes Person Involved: Drew Cooper Department: HR Location: Tool Crib Incident Time: 11:56 Incident Description: crane malfunction caused a fuel leak, injuring the operator. Incident Date: 30 May 2025 Injury Description: Compressed air injury during maintenance"
Incident Description: Exposure to asbestos led to concussion. Location: Dry Dock 1 Reporter Name: Skyler Cooper Incident Date: 04 February 2024 Department: Customer Service Injury Description: Minor cuts and bruises Person Involved: Sawyer Walker Label: Accident Incident Time: 00:22 Was Injured: Yes
"Person Involved: Sydney Sullivan Reporter Name: Jordan Robinson Location: Training Room Injury Description: Crush injury to hand from hydraulic press Incident Date: 05 January 2025 Label: Accident Incident Time: 19:55 Was Injured: Yes Incident Description: crane malfunction caused a steel beam to drop, injuring two workers. Department: Procurement"
"Incident Date: 10 March 2024 Department: Facilities Location: Maintenance Shed Label: Accident Reporter Name: Kai Walker Person Involved: Chris West Was Injured: Yes Incident Time: 22:25 Injury Description: Compressed air injury during maintenance Incident Description: grinder malfunction caused a fuel leak, injuring the operator."
"Reporter Name: Sydney Graham Injury Description: Burn from hot welding equipment Location: Main Gate Security Person Involved: Dakota Clark Incident Time: 08:15 Was Injured: Yes Incident Description: Worker fell from ladder while painting, resulting in a fractured leg. Label: Accident Incident Date: 05 March 2024 Department: Environmental Services"
"Location: IT Server Room Person Involved: Harper Brown Department: Finance Injury Description: Foreign object in eye from grinding debris Incident Description: Worker fell from ladder while welding, resulting in a fractured leg. Reporter Name: Jordan Hughes Incident Time: 02:39 Incident Date: 04 February 2025 Was Injured: Yes Label: Accident"
"Injury Description: Foreign object in eye from grinding debris Label: Accident Incident Date: 08 July 2024 Incident Time: 20:33 Department: Engineering Incident Description: Worker fell from scaffolding while welding, resulting in a fractured leg. Person Involved: Spencer Sullivan Reporter Name: Kai Clark Was Injured: Yes Location: Main Gate Security"
"Incident Time: 08:57 Incident Date: 26 June 2025 Department: Operations Label: Accident Location: Office - Admin Block Reporter Name: Sawyer Smith Incident Description: forklift malfunction caused electrical fire, injuring a contractor. Was Injured: Yes Person Involved: Sydney Payne Injury Description: Chemical burn from solvent exposure"
Injury Description: Electric shock from faulty wiring Incident Description: Exposure to toxic fumes led to concussion. Person Involved: Chris Johnson Label: Accident Was Injured: Yes Reporter Name: Logan Pearson Location: Office - Admin Block Incident Time: 23:33 Incident Date: 23 January 2024 Department: Facilities
"Person Involved: Jamie Sullivan Department: Security Was Injured: Yes Incident Time: 05:12 Location: Dockyard South Label: Accident Incident Description: Worker fell from scaffolding while repairing the hull, resulting in burns. Injury Description: Crush injury to hand from hydraulic press Incident Date: 02 April 2025 Reporter Name: Casey Brown"
Department: Procurement Reporter Name: Sydney Morgan Incident Date: 31 May 2024 Was Injured: Yes Location: Reception Area Incident Description: Exposure to asbestos led to concussion. Injury Description: Concussion from falling object Label: Accident Person Involved: Taylor Bailey Incident Time: 00:59
"Injury Description: Hearing damage from loud machinery Label: Accident Person Involved: Elliot Lee Location: Paint Shop Incident Time: 08:42 Was Injured: Yes Reporter Name: Dakota Ward Incident Date: 01 May 2024 Incident Description: crane malfunction caused a fuel leak, injuring the operator. Department: Operations"
"Person Involved: Skyler Brown Incident Description: crane malfunction caused electrical fire, injuring a contractor. Label: Accident Reporter Name: Quinn Davis Incident Date: 03 April 2024 Was Injured: Yes Location: Dockyard South Injury Description: Trip hazard fall resulting in bruising Department: Quality Assurance Incident Time: 05:16"
